t: 0.00000000 | iteration:   1 | residual: 0.000000000000000
t: 0.03125000 | iteration:   1 | residual: 0.000000000000000
t: 0.06250000 | iteration:   1 | residual: 0.000000000000000
t: 0.09375000 | iteration:   1 | residual: 0.000000000000000
t: 0.12500000 | iteration:   1 | residual: 0.000000000000000
t: 0.15625000 | iteration:   1 | residual: 0.000000000000000
t: 0.18750000 | iteration:   1 | residual: 0.000000000000000
t: 0.21875000 | iteration:   1 | residual: 0.000000000000000
t: 0.25000000 | iteration:   1 | residual: 0.000000000000000
t: 0.28125000 | iteration:   1 | residual: 0.000000000000000
t: 0.31250000 | iteration:   1 | residual: 0.000000000000000
t: 0.34375000 | iteration:   1 | residual: 0.000000000000000
t: 0.37500000 | iteration:   1 | residual: 0.000000000000000
t: 0.40625000 | iteration:   1 | residual: 0.000000000000000
t: 0.43750000 | iteration:   1 | residual: 0.000000000000000
t: 0.46875000 | iteration:   1 | residual: 0.000000000000000
t: 0.50000000 | iteration:   1 | residual: 0.000000000000000
t: 0.53125000 | iteration:   1 | residual: 0.000000000000000
t: 0.56250000 | iteration:   1 | residual: 0.000000000000000
t: 0.59375000 | iteration:   1 | residual: 0.000000000000000
t: 0.62500000 | iteration:   1 | residual: 0.000000000000000
t: 0.65625000 | iteration:   1 | residual: 0.000000000000000
t: 0.68750000 | iteration:   1 | residual: 0.000000000000000
t: 0.71875000 | iteration:   1 | residual: 0.000000000000000
t: 0.75000000 | iteration:   1 | residual: 0.000000000000000
t: 0.78125000 | iteration:   1 | residual: 0.000000000000000
t: 0.81250000 | iteration:   1 | residual: 0.000000000000000
t: 0.84375000 | iteration:   1 | residual: 0.000000000000000
t: 0.87500000 | iteration:   1 | residual: 0.000000000000000
t: 0.90625000 | iteration:   1 | residual: 0.000000000000000
t: 0.93750000 | iteration:   1 | residual: 0.000000000000000
t: 0.96875000 | iteration:   1 | residual: 0.000000000000000
