timesteps,final_residual,final_error
4,0.004563896509933137,0.004174012019202826
8,0.0023598081135008508,0.0022635766289270114
16,0.001202943105839972,0.0011785623305235406
32,0.0006077271591036749,0.0006013055849865233
64,0.000305492645041796,0.0003037002908920936
128,0.00015316193634444452,0.0001526171945841097
256,7.668592776579197e-05,7.650100638548298e-05
512,3.836933659515074e-05,3.8298686256986e-05
1024,1.9191278127223224e-05,1.9161398969630525e-05
2048,9.597293605590503e-06,9.583714687404817e-06
