t: 0.00000000 | iteration:   1 | residual: 0.000013190613318
t: 0.00000000 | iteration:   2 | residual: 0.000008228784485
t: 0.00000000 | iteration:   3 | residual: 0.000005554209406
t: 0.00000000 | iteration:   4 | residual: 0.000001846231687
t: 0.00000000 | iteration:   5 | residual: 0.000000335171580
t: 0.00000000 | iteration:   6 | residual: 0.000000256352084
t: 0.00000000 | iteration:   7 | residual: 0.000000152046247
t: 0.00000000 | iteration:   8 | residual: 0.000000044242130
t: 0.00000000 | iteration:   9 | residual: 0.000000008929378
t: 0.00000000 | iteration:  10 | residual: 0.000000009512310
t: 0.50000000 | iteration:   1 | residual: 0.000015782871546
t: 0.50000000 | iteration:   2 | residual: 0.000008468964443
t: 0.50000000 | iteration:   3 | residual: 0.000006028862490
t: 0.50000000 | iteration:   4 | residual: 0.000002092738248
t: 0.50000000 | iteration:   5 | residual: 0.000000390685225
t: 0.50000000 | iteration:   6 | residual: 0.000000263328221
t: 0.50000000 | iteration:   7 | residual: 0.000000160573548
t: 0.50000000 | iteration:   8 | residual: 0.000000048991789
t: 0.50000000 | iteration:   9 | residual: 0.000000010184707
t: 0.50000000 | iteration:  10 | residual: 0.000000009850822
