t_start,t_end,residual,err,iter_mean,iter_range,iter_max_index,iter_min_index,iter_std,iter_var,time_to_solution
0.0,0.0625,2.309015195495119e-08,5.753048297124621e-07,1.0,0,0,0,0.0,0.0,0.0701336549991538
0.0625,0.125,2.4332495188467005e-09,6.389140233684465e-07,1.0,0,0,0,0.0,0.0,0.05383870200057572
0.125,0.1875,1.906640740603564e-09,6.637972978714167e-07,1.0,0,0,0,0.0,0.0,0.05019059099868173
0.1875,0.25,1.786895944556527e-09,6.729868625955236e-07,1.0,0,0,0,0.0,0.0,0.04947182899923064
0.25,0.3125,1.7498555097160316e-09,6.760653777641912e-07,1.0,0,0,0,0.0,0.0,0.04866307100019185
0.3125,0.375,1.7371450298112042e-09,6.766580052211699e-07,1.0,0,0,0,0.0,0.0,0.05138252899996587
0.375,0.4375,1.732618668815119e-09,6.76023121465335e-07,1.0,0,0,0,0.0,0.0,0.049927404999834835
0.4375,0.5,1.7309848483894736e-09,6.745200159224953e-07,1.0,0,0,0,0.0,0.0,0.0513360319982894
0.5,0.5625,1.7303921700611402e-09,6.721670437080711e-07,1.0,0,0,0,0.0,0.0,0.051723512000535266
0.5625,0.625,1.7301768183099625e-09,6.688505954936533e-07,1.0,0,0,0,0.0,0.0,0.05102244800036715
0.625,0.6875,1.7300985398720411e-09,6.644055098084814e-07,1.0,0,0,0,0.0,0.0,0.05136673099877953
0.6875,0.75,1.7300700111015182e-09,6.586494702773373e-07,1.0,0,0,0,0.0,0.0,0.04875946600077441
0.75,0.8125,1.730059672077793e-09,6.514016490310181e-07,1.0,0,0,0,0.0,0.0,0.050530472999525955
0.8125,0.875,1.7300558907057865e-09,6.42496407901645e-07,1.0,0,0,0,0.0,0.0,0.048942357001578785
0.875,0.9375,1.7300545379787666e-09,6.317955862820258e-07,1.0,0,0,0,0.0,0.0,0.05351131899988104
0.9375,1.0,1.7300540063925881e-09,6.192000437276063e-07,1.0,0,0,0,0.0,0.0,0.049477228998512146
